#
# INPUTFILE 
# ENERGYOUT energy.dat
# GEOMOUT geometry.xyz
# RANDOMSEED 41
# DESIREDTEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSWAITTIME 5.000000 s
# ENERGYWAITTIME 0.001000 ps
# GEOMWAITTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000500 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 p
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.1150  2.27645e+05  3.469e+00  2.276e+05  2.276e+05  3.942e+00  0.000e+00  2.278e+05 -1.793e+02  9.788e-01  2.904e+00  5.869e-02  0.000e+00
 0.1160  2.16638e+05  3.940e+00  2.166e+05  2.166e+05  3.459e+00  0.000e+00  2.168e+05 -1.787e+02  4.761e-01  2.928e+00  5.495e-02  0.000e+00
 0.1170  2.10478e+05  3.670e+00  2.105e+05  2.105e+05  3.734e+00  0.000e+00  2.106e+05 -1.781e+02  7.962e-01  2.887e+00  5.137e-02  0.000e+00
 0.1180  2.09858e+05  2.970e+00  2.099e+05  2.099e+05  4.450e+00  0.000e+00  2.100e+05 -1.777e+02  1.639e+00  2.761e+00  4.929e-02  0.000e+00
 0.1190  2.10394e+05  2.721e+00  2.104e+05  2.104e+05  4.707e+00  0.000e+00  2.106e+05 -1.775e+02  2.105e+00  2.553e+00  4.974e-02  0.000e+00
 0.1200  2.08943e+05  3.377e+00  2.089e+05  2.089e+05  4.043e+00  0.000e+00  2.091e+05 -1.776e+02  1.704e+00  2.285e+00  5.357e-02  0.000e+00
 0.1210  2.08598e+05  4.446e+00  2.086e+05  2.086e+05  2.958e+00  0.000e+00  2.088e+05 -1.779e+02  9.025e-01  1.993e+00  6.154e-02  0.000e+00
 0.1220  2.14157e+05  5.037e+00  2.142e+05  2.141e+05  2.361e+00  0.000e+00  2.143e+05 -1.785e+02  5.828e-01  1.704e+00  7.420e-02  0.000e+00
 0.1230  2.25086e+05  4.835e+00  2.251e+05  2.251e+05  2.573e+00  0.000e+00  2.253e+05 -1.792e+02  1.053e+00  1.428e+00  9.152e-02  0.000e+00
 0.1240  2.34966e+05  4.421e+00  2.350e+05  2.350e+05  3.002e+00  0.000e+00  2.351e+05 -1.797e+02  1.715e+00  1.174e+00  1.127e-01  0.000e+00
 0.1250  2.37004e+05  4.566e+00  2.370e+05  2.370e+05  2.857e+00  0.000e+00  2.372e+05 -1.797e+02  1.754e+00  9.669e-01  1.363e-01  0.000e+00
 0.1260  2.30225e+05  5.326e+00  2.302e+05  2.302e+05  2.084e+00  0.000e+00  2.304e+05 -1.794e+02  1.065e+00  8.591e-01  1.605e-01  0.000e+00
 0.1270  2.19761e+05  5.936e+00  2.198e+05  2.198e+05  1.460e+00  0.000e+00  2.199e+05 -1.787e+02  3.663e-01  9.099e-01  1.840e-01  0.000e+00
 0.1280  2.11715e+05  5.646e+00  2.117e+05  2.117e+05  1.752e+00  0.000e+00  2.119e+05 -1.779e+02  3.969e-01  1.149e+00  2.059e-01  0.000e+00
 0.1290  2.08457e+05  4.543e+00  2.085e+05  2.085e+05  2.869e+00  0.000e+00  2.086e+05 -1.773e+02  1.090e+00  1.553e+00  2.258e-01  0.000e+00
 0.1300  2.07395e+05  3.462e+00  2.074e+05  2.074e+05  3.963e+00  0.000e+00  2.076e+05 -1.770e+02  1.665e+00  2.054e+00  2.438e-01  0.000e+00
 0.1310  2.05252e+05  3.090e+00  2.052e+05  2.052e+05  4.331e+00  0.000e+00  2.054e+05 -1.771e+02  1.511e+00  2.559e+00  2.603e-01  0.000e+00
